Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OR-Portland Suburban,38900,363.58,"505,012","508,558","515,729","538,358","571,502","597,254","623,112","650,826","668,138","677,842","668,298","661,412","655,394","654,596","670,704","690,798","714,030","727,304","733,697","703,307","705,613","716,544","715,601","711,385","731,156","756,288","788,638","818,630"
OR-Portland Urban,38900,"1,704.90","303,159","307,964","312,504","320,662","332,916","338,366","342,589","350,218","352,057","352,268","363,518","356,323","347,528","342,005","336,779","338,487","347,849","360,681","365,522","351,886","378,511","389,294","387,585","382,944","394,646","408,545","427,251","440,545"
PA-Pittsburgh,38300,727.31,"1,090,370","1,090,778","1,102,922","1,109,962","1,111,417","1,115,106","1,132,665","1,147,256","1,151,652","1,156,043","1,144,145","1,153,461","1,143,927","1,135,538","1,135,763","1,134,199","1,144,108","1,155,142","1,166,337","1,133,704","1,105,328","1,121,358","1,138,780","1,139,055","1,143,298","1,148,939","1,148,475","1,146,984"
PA-Pittsburgh Suburban,38300,474.56,"423,480","424,507","431,514","436,806","440,241","444,761","454,348","461,634","465,822","469,200","470,579","476,020","473,682","472,427","474,590","476,631","482,750","485,786","491,556","477,848","464,334","470,272","476,719","476,162","476,989","479,002","478,761","477,985"
PA-Pittsburgh Urban,38300,"1,359.20","666,890","666,271","671,408","673,156","671,176","670,345","678,317","685,622","685,830","686,843","673,566","677,441","670,245","663,111","661,173","657,568","661,358","669,356","674,781","655,856","640,994","651,086","662,061","662,893","666,309","669,937","669,714","668,999"
CA-Sacremento,40900,505.58,"714,005","709,875","707,817","709,388","732,291","741,380","756,721","776,733","800,327","835,775","870,966","893,392","911,897","927,224","943,678","962,619","974,940","980,957","971,039","937,064","920,064","921,612","939,883","955,890","972,156","994,187","1,017,260","1,032,973"
CA-Sacremento Suburban,40900,183.83,"215,681","217,423","222,325","223,442","238,088","243,420","250,203","256,838","263,694","278,838","288,181","297,514","305,800","313,135","321,481","331,115","337,930","341,882","340,756","330,994","323,072","323,929","330,192","336,010","341,455","349,249","357,151","363,504"
CA-Sacremento Urban,40900,"1,470.80","498,324","492,452","485,492","485,946","494,203","497,960","506,518","519,895","536,633","556,937","582,785","595,878","606,097","614,089","622,197","631,504","637,010","639,075","630,283","606,070","596,992","597,683","609,691","619,880","630,701","644,938","660,109","669,469"
OH-Cincinnati,17140,828.32,"902,895","898,944","901,183","907,207","921,448","936,386","951,238","975,568","988,849","1,001,548","1,000,471","999,752","998,305","1,007,923","1,017,813","1,029,587","1,045,701","1,059,008","1,054,420","1,007,648","987,499","989,922","996,559","1,001,736","1,015,314","1,025,307","1,036,806","1,060,310"
OH-Cincinnati Suburban,17140,402.46,"476,076","476,555","481,013","489,237","503,613","519,387","531,076","553,035","567,955","582,713","585,050","587,582","591,819","603,091","616,652","629,678","637,171","640,110","636,952","611,194","611,171","615,153","620,946","624,991","632,775","638,647","646,672","663,540"
OH-Cincinnati Urban,17140,"3,596.40","426,819","422,389","420,170","417,970","417,835","416,999","420,162","422,533","420,894","418,835","415,421","412,170","406,486","404,832","401,161","399,909","408,530","418,898","417,468","396,454","376,328","374,769","375,613","376,745","382,539","386,660","390,134","396,770"
NV-Las Vegas,29820,676.2,"397,738","416,645","430,649","456,199","495,389","521,786","562,418","604,672","637,114","676,433","698,877","725,947","737,054","759,476","793,008","833,919","881,109","908,308","915,147","856,495","848,573","863,498","886,972","908,105","938,467","967,963","987,211","1,016,396"
NV-Las Vegas Suburban,29820,676.2,"397,738","416,645","430,649","456,199","495,389","521,786","562,418","604,672","637,114","676,433","698,877","725,947","737,054","759,476","793,008","833,919","881,109","908,308","915,147","856,495","848,573","863,498","886,972","908,105","938,467","967,963","987,211","1,016,396"
NV-Las Vegas Urban,29820,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
MO-Kansas City,28140,383.94,"826,963","829,793","839,455","854,722","887,097","908,304","920,625","939,076","957,749","971,690","950,465","941,958","934,517","943,126","950,059","956,538","963,681","974,534","966,104","946,766","988,122","996,274","1,010,018","1,014,302","1,039,024","1,063,476","1,079,636","1,086,022"
MO-Kansas City Suburban,28140,188.3,"230,092","233,378","236,793","242,402","254,516","264,001","269,581","273,696","279,073","284,788","291,021","290,845","289,038","291,683","293,737","296,880","301,251","304,904","302,289","294,711","309,731","312,901","317,712","318,122","325,996","335,308","341,763","342,628"
MO-Kansas City Urban,28140,"1,101.30","596,871","596,415","602,662","612,320","632,581","644,303","651,044","665,380","678,676","686,902","659,444","651,113","645,479","651,443","656,322","659,658","662,430","669,630","663,815","652,055","678,391","683,373","692,306","696,180","713,028","728,168","737,873","743,394"
TX-Austin,12420,380.74,"454,725","468,319","495,993","527,538","561,843","591,879","614,368","634,548","661,137","693,960","716,710","718,832","713,586","718,724","737,792","761,991","789,403","813,256","827,538","825,072","865,462","897,490","931,583","968,054","1,002,077","1,033,619","1,074,349","1,116,938"
