CBSA,CBSA Code,Pop Density,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FL-Orlando,36740,"1,740.68",-0.48%,2.98%,4.02%,4.26%,3.29%,3.64%,5.25%,4.79%,4.35%,-2.63%,1.00%,-1.28%,2.47%,4.53%,5.79%,4.93%,2.80%,-0.50%,-5.77%,2.10%,2.05%,3.20%,2.98%,3.25%,2.18%,3.56%,4.66%
FL-Orlando Suburban,36740,202.4,1.91%,3.58%,5.11%,4.63%,5.56%,5.34%,5.57%,5.57%,5.64%,1.46%,3.24%,1.80%,6.03%,8.13%,7.35%,7.81%,5.31%,1.52%,-4.56%,-2.40%,3.51%,4.43%,4.72%,4.68%,3.92%,3.57%,6.14%
FL-Orlando Urban,36740,"2,253.43",-0.71%,2.92%,3.92%,4.22%,3.07%,3.46%,5.21%,4.71%,4.22%,-3.06%,0.75%,-1.63%,2.05%,4.09%,5.60%,4.56%,2.46%,-0.77%,-5.94%,2.74%,1.85%,3.04%,2.73%,3.04%,1.93%,3.56%,4.44%
TX-San Antonio,41700,351.55,1.42%,4.16%,3.91%,3.93%,3.19%,1.71%,2.75%,1.40%,2.53%,-1.17%,0.91%,1.50%,1.19%,1.68%,2.36%,2.83%,1.31%,1.77%,0.05%,4.69%,2.25%,2.32%,2.51%,2.45%,2.27%,3.08%,2.94%
TX-San Antonio Suburban,41700,204.19,2.93%,3.99%,5.79%,5.96%,5.50%,3.77%,3.90%,3.04%,4.89%,2.11%,2.09%,2.26%,2.15%,2.77%,3.53%,4.20%,1.37%,2.89%,1.04%,0.73%,2.32%,2.71%,2.92%,3.05%,2.61%,2.88%,3.95%
TX-San Antonio Urban,41700,"1,383.10",1.13%,4.19%,3.54%,3.53%,2.71%,1.27%,2.51%,1.04%,2.00%,-1.92%,0.62%,1.32%,0.95%,1.41%,2.07%,2.48%,1.30%,1.48%,-0.21%,5.74%,2.23%,2.22%,2.41%,2.29%,2.19%,3.13%,2.68%
OR-Portland,38900,555.2,1.03%,1.43%,3.72%,5.28%,3.45%,3.22%,3.66%,1.91%,0.97%,0.17%,-1.36%,-1.46%,-0.63%,1.09%,2.16%,3.17%,2.46%,1.03%,-4.01%,2.74%,2.00%,-0.24%,-0.80%,2.88%,3.47%,4.38%,3.56%
OR-Portland Suburban,38900,363.58,0.70%,1.41%,4.39%,6.16%,4.51%,4.33%,4.45%,2.66%,1.45%,-1.41%,-1.03%,-0.91%,-0.12%,2.46%,3.00%,3.36%,1.86%,0.88%,-4.14%,0.33%,1.55%,-0.13%,-0.59%,2.78%,3.44%,4.28%,3.80%
OR-Portland Urban,38900,"1,704.90",1.58%,1.47%,2.61%,3.82%,1.64%,1.25%,2.23%,0.53%,0.06%,3.19%,-1.98%,-2.47%,-1.59%,-1.53%,0.51%,2.77%,3.69%,1.34%,-3.73%,7.57%,2.85%,-0.44%,-1.20%,3.06%,3.52%,4.58%,3.11%
PA-Pittsburgh,38300,727.31,0.04%,1.11%,0.64%,0.13%,0.33%,1.57%,1.29%,0.38%,0.38%,-1.03%,0.81%,-0.83%,-0.73%,0.02%,-0.14%,0.87%,0.96%,0.97%,-2.80%,-2.50%,1.45%,1.55%,0.02%,0.37%,0.49%,-0.04%,-0.13%
PA-Pittsburgh Suburban,38300,474.56,0.24%,1.65%,1.23%,0.79%,1.03%,2.16%,1.60%,0.91%,0.73%,0.29%,1.16%,-0.49%,-0.26%,0.46%,0.43%,1.28%,0.63%,1.19%,-2.79%,-2.83%,1.28%,1.37%,-0.12%,0.17%,0.42%,-0.05%,-0.16%
PA-Pittsburgh Urban,38300,"1,359.20",-0.09%,0.77%,0.26%,-0.29%,-0.12%,1.19%,1.08%,0.03%,0.15%,-1.93%,0.58%,-1.06%,-1.06%,-0.29%,-0.55%,0.58%,1.21%,0.81%,-2.80%,-2.27%,1.57%,1.69%,0.13%,0.52%,0.54%,-0.03%,-0.11%
CA-Sacremento,40900,505.58,-0.58%,-0.29%,0.22%,3.23%,1.24%,2.07%,2.64%,3.04%,4.43%,4.21%,2.57%,2.07%,1.68%,1.77%,2.01%,1.28%,0.62%,-1.01%,-3.50%,-1.81%,0.17%,1.98%,1.70%,1.70%,2.27%,2.32%,1.54%
CA-Sacremento Suburban,40900,183.83,0.81%,2.25%,0.50%,6.55%,2.24%,2.79%,2.65%,2.67%,5.74%,3.35%,3.24%,2.79%,2.40%,2.67%,3.00%,2.06%,1.17%,-0.33%,-2.86%,-2.39%,0.27%,1.93%,1.76%,1.62%,2.28%,2.26%,1.78%
CA-Sacremento Urban,40900,"1,470.80",-1.18%,-1.41%,0.09%,1.70%,0.76%,1.72%,2.64%,3.22%,3.78%,4.64%,2.25%,1.71%,1.32%,1.32%,1.50%,0.87%,0.32%,-1.38%,-3.84%,-1.50%,0.12%,2.01%,1.67%,1.75%,2.26%,2.35%,1.42%
OH-Cincinnati,17140,828.32,-0.44%,0.25%,0.67%,1.57%,1.62%,1.59%,2.56%,1.36%,1.28%,-0.11%,-0.07%,-0.14%,0.96%,0.98%,1.16%,1.57%,1.27%,-0.43%,-4.44%,-2.00%,0.25%,0.67%,0.52%,1.36%,0.98%,1.12%,2.27%
OH-Cincinnati Suburban,17140,402.46,0.10%,0.94%,1.71%,2.94%,3.13%,2.25%,4.13%,2.70%,2.60%,0.40%,0.43%,0.72%,1.90%,2.25%,2.11%,1.19%,0.46%,-0.49%,-4.04%,0.00%,0.65%,0.94%,0.65%,1.25%,0.93%,1.26%,2.61%
OH-Cincinnati Urban,17140,"3,596.40",-1.04%,-0.53%,-0.52%,-0.03%,-0.20%,0.76%,0.56%,-0.39%,-0.49%,-0.82%,-0.78%,-1.38%,-0.41%,-0.91%,-0.31%,2.16%,2.54%,-0.34%,-5.03%,-5.08%,-0.41%,0.23%,0.30%,1.54%,1.08%,0.90%,1.70%
NV-Las Vegas,29820,676.2,4.75%,3.36%,5.93%,8.59%,5.33%,7.79%,7.51%,5.37%,6.17%,3.32%,3.87%,1.53%,3.04%,4.42%,5.16%,5.66%,3.09%,0.75%,-6.41%,-0.92%,1.76%,2.72%,2.38%,3.34%,3.14%,1.99%,2.96%
NV-Las Vegas Suburban,29820,676.2,4.75%,3.36%,5.93%,8.59%,5.33%,7.79%,7.51%,5.37%,6.17%,3.32%,3.87%,1.53%,3.04%,4.42%,5.16%,5.66%,3.09%,0.75%,-6.41%,-0.92%,1.76%,2.72%,2.38%,3.34%,3.14%,1.99%,2.96%
NV-Las Vegas Urban,29820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO-Kansas City,28140,383.94,0.34%,1.16%,1.82%,3.79%,2.39%,1.36%,2.00%,1.99%,1.46%,-2.18%,-0.90%,-0.79%,0.92%,0.74%,0.68%,0.75%,1.13%,-0.87%,-2.00%,4.37%,0.82%,1.38%,0.42%,2.44%,2.35%,1.52%,0.59%
MO-Kansas City Suburban,28140,188.3,1.43%,1.46%,2.37%,5.00%,3.73%,2.11%,1.53%,1.96%,2.05%,2.19%,-0.06%,-0.62%,0.92%,0.70%,1.07%,1.47%,1.21%,-0.86%,-2.51%,5.10%,1.02%,1.54%,0.13%,2.48%,2.86%,1.93%,0.25%
